Afrik	Afriko
Japon	Japanio
Amerik disid	Sudameriko
Nòvèj	Norvegio
Angletè	Anglio
Ekòs	Skotlando
Gal	Kimrio
Ilann dinò	Nord-Irlando
Ilann	Irlando
Ongri	Hungario
Espay	Hispanio
Etazini	Usono
Bèljik	Belgio
Liksanbou (peyi)	Luksemburgo (lando)
Linivè	Universo
Latè	Tero
Lavi	Vivo
Lanmò	Morto
Homo sapiens	Homo
George Washington	George Washington
Fenlann	Finnlando
Syèd	Svedio
Danmak	Danio
Polòy	Pollando
Lityani	Litovio
Itali	Italio
Swis	Svislando
Otrich	Aŭstrio
Grès	Grekio
Tiki	Turkio
Byè	Biero
Pòtigal	Portugalio
Ewòp	Eŭropo
Azi	Azio
Amerik dinò	Nordameriko
Antatik (kontinan)	Antarkto
Wikipedya	Vikipedio
Peyiba	Nederlando
Nouyòk	Novjorko
Wachintòn	Vaŝingtono
San Francisco, Kalifòni	San-Francisko
Bèlen	Berlino
Los Angeles, Kalifòni	Los-Anĝeleso
Òdinatè	Komputilo
Bèn	Berno
Zirik	Zuriko
Entènet	Interreto
Barack Obama	Barack Obama
Irigwe	Urugvajo
Lonn	Londono
Li Kè	Kairo
Alexandria, Vijini	Alexandria (Virginio)
Pòm	Pomo
Pari	Parizo
Abraham Lincoln	Abraham Lincoln
Google	Google
Meksik	Meksiko
Atlantik	Atlantika Oceano
Pasifik	Pacifika Oceano
Kalifòni	Kalifornio
Boston, Massachusetts	Bostono
Lendi	Lundo
Janvye	Januaro
Fevriye	Februaro
Mas (mwa)	Marto
Mas (planèt)	Marso
Kenya	Kenjo
Etyopi	Etiopio
Gana	Ganao
Avril	Aprilo
Me	Majo
Jen	Junio
Jiyè	Julio
Out	Aŭgusto
Septanm	Septembro
Oktòb	Oktobro
Novanm	Novembro
Desanm	Decembro
Madi	Mardo
Mèkredi	Merkredo
Jedi	Ĵaŭdo
Vandredi	Vendredo
Samdi	Sabato
Dimanch	Dimanĉo
Lyon	Leono
Frans	Francio
Chen	Hundo
Wayòm Ini	Unuiĝinta Reĝlando
Chat	Hejma kato
Lang franse	Franca lingvo
Pwason	Fiŝoj
Brezil	Brazilo
Alkòl	Alkoholo
Risi	Rusio
Balèn	Cetacoj
Kare	Kvadrato (geometrio)
Lanmè	Maro
