Aafrika	Afriko
Jaapan	Japanio
Lõuna-Ameerika manner	Sudameriko
Norra	Norvegio
Inglismaa	Anglio
Šotimaa	Skotlando
Wales	Kimrio
Põhja-Iirimaa	Nord-Irlando
Iirimaa	Irlando
Ungari	Hungario
Hispaania	Hispanio
Ameerika Ühendriigid	Usono
Belgia	Belgio
Luksemburg	Luksemburgo (lando)
Universum	Universo
Maa (planeet)	Tero
Elu	Vivo
Surm	Morto
Inimene	Homo
George Washington	George Washington
Douglas Adams	Douglas Adams
Tim Berners-Lee	Tim Berners-Lee
Leet	Leet
Stanley Kubrick	Stanley Kubrick
Wikidata	Vikidatumoj
Soome	Finnlando
Rootsi	Svedio
Taani	Danio
Poola	Pollando
Leedu	Litovio
Itaalia	Italio
Šveits	Svislando
Austria	Aŭstrio
Kreeka	Grekio
Türgi	Turkio
Õlu	Biero
Portugal	Portugalio
Euroopa	Eŭropo
Aasia	Azio
Põhja-Ameerika manner	Nordameriko
Antarktis	Antarkto
Vikipeedia	Vikipedio
All your base are belong to us	All your base are belong to us
Holland	Nederlando
Suguti	Peniso
PHP	PHP
New York	Novjorko
Washington	Vaŝingtono
San Francisco	San-Francisko
Berliin	Berlino
Los Angeles	Los-Anĝeleso
Boeing	Boeing
Airbus	Airbus
Arvuti	Komputilo
Bern	Berno
Genf	Ĝenevo
Zürich	Zuriko
IRC	Interreta relajsa babilo
Internet	Interreto
Barack Obama	Barack Obama
Uruguay	Urugvajo
Basel	Bazelo
Printer	Presilo
MediaWiki	MediaVikio
London	Londono
Kairo	Kairo
Peavalu	Kapdoloro
Aleksandria	Aleksandrio
Õun	Pomo
Pariis	Parizo
Abraham Lincoln	Abraham Lincoln
Android (operatsioonisüsteem)	Android
Google	Google
Mehhiko	Meksiko
Atlandi ookean	Atlantika Oceano
Vaikne ookean	Pacifika Oceano
California	Kalifornio
Boston	Bostono
Esmaspäev	Lundo
Ruum	Spaco
Jaanuar	Januaro
Veebruar	Februaro
Märts	Marto
Marss	Marso
Mars	Marso (dio)
Keenia	Kenjo
Etioopia	Etiopio
Ghana	Ganao
Aprill	Aprilo
Mai	Majo
Juuni	Junio
Juuli	Julio
August	Aŭgusto
September	Septembro
Oktoober	Oktobro
November	Novembro
Detsember	Decembro
Teisipäev	Mardo
Kolmapäev	Merkredo
Neljapäev	Ĵaŭdo
Reede	Vendredo
Laupäev	Sabato
Pühapäev	Dimanĉo
Oda (male)	Kuriero (ŝako)
Ettur	Peono (ŝako)
Ratsu	Ĉevalo (ŝako)
Vanker (male)	Turo (ŝako)
Kuningas (male)	Reĝo (ŝako)
Lipp (male)	Damo (ŝako)
Lõvi	Leono
Prantsusmaa	Francio
Esperanto	Esperanto
Koer	Hundo
Suurbritannia	Unuiĝinta Reĝlando
Kass	Hejma kato
Hiina	Ĉina Popola Respubliko
Prantsuse keel	Franca lingvo
Vikisõnastik	Vikivortaro
Kalad	Fiŝoj
Etanool	Etanolo
Alkohoolne jook	Alkoholaĵo
Brasiilia	Brazilo
Alkoholid	Alkoholo
François Hollande	François Hollande
Venemaa	Rusio
Vaalalised	Cetacoj
Kiud	Fibro
Valgusjuhe	Optika fibro
Yorkshire	Jorkŝiro
Ruut	Kvadrato (geometrio)
Meri	Maro
Must meri	Nigra Maro
Pii	Pi (nombro)
Pii (täht)	Pio (litero)
Mango	Mango (frukto)
Viki	Vikio
Toronto	Toronto
Alabama	Alabamo
São Paulo	San-Paŭlo (urbo)
São Paulo osariik	San-Paŭlo
Québec	Kebekio
Pitsa	Pico
Boeing 747	Boeing 747
Wikimedia Foundation	Fondaĵo Vikimedio
Jimmy Wales	Jimmy Wales
Saksamaa	Germanio
Valgevene	Belorusio
Saksa keel	Germana lingvo
Island	Islando
Jumal	Dio
Eesti	Estonio
David Cameron	David Cameron
Saturn	Saturno (planedo)
Šokolaad	Ĉokolado
Kirss	Ĉerizo
Lennuk	Aviadilo
Sõda	Milito
Üks	1 (nombro)
Kaks	2 (nombro)
Kolm	3 (nombro)
Null	Nulo
Lõpmatus	Senfineco
Stephen Harper	Stephen Harper
George W. Bush	George W. Bush
Ristkülik	Ortangulo
Täisnurk	Orto
Läti	Latvio
Ukraina	Ukrainio
Tšehhi	Ĉeĥio
Slovakkia	Slovakio
Sloveenia	Slovenio
Vilnius	Vilno
Moldova	Moldava Respubliko
Rumeenia	Rumanio
Bulgaaria	Bulgario
Rooma	Romo
Makedoonia	Respubliko Makedonio
Albaania	Albanio
Gröönimaa	Gronlando
Horvaatia	Kroatio
Bosnia ja Hertsegoviina	Bosnio kaj Hercegovino
Nuuk	Nuko (Gronlando)
Aserbaidžaan	Azerbajĝano
Andorra	Andoro
Küpros	Kipro
Gruusia	Kartvelio
Valloonia	Valonio
Kasahstan	Kazaĥio
Malta	Malto
Monaco	Monako
Montenegro	Montenegro
Vatikan	Vatikano
San Marino	San-Marino
Brüssel	Bruselo
Pealinna Brüsseli piirkond	Brusela Ĉefurba Regiono
Kuuba	Kubo
Belize	Belizo
Eiffeli torn	Eiffel-Turo
Barbados	Barbado
Volkswagen	Volkswagen
Intel	Intel
