非洲	Afriko
Tet-ngî	Germana lingvo
Pên-tó	Islando
Song-ti	Dio
Oi-sâ-nì-â	Estonio
David Cameron	David Cameron
Thú-sên	Saturno (planedo)
Ku-thin-yi̍t Fî-kî	Aviadilo
1	1 (nombro)
2	2 (nombro)
3	3 (nombro)
4	4 (nombro)
5	5 (nombro)
George W. Bush	George W. Bush
Lâ-thot-vì-â	Latvio
Vû-khiet-làn	Ukrainio
Tshia̍p-khiet	Ĉeĥio
Sṳ̂-lo̍k-vì-nì-â	Slovenio
Lò-mâ-nì-â	Rumanio
Pó-kâ-li-â	Bulgario
Lò-mâ	Romo
Mâ-khì-tun	Respubliko Makedonio
Â-ngì-pâ-nì-â	Albanio
Khiet-lò-âi-sî-â	Kroatio
Pô-sṳ-nì-â lâu Het-set-kô-vì-ná	Bosnio kaj Hercegovino
Â-set-pai-kiông	Azerbajĝano
Set-phû-lu-sṳ̂	Kipro
Kak-lû-kit-â	Kartvelio
Hâ-sat-khiet-sṳ̂-thán	Kazaĥio
Mí-li-thai	Malto
Mô-na̍p-kô	Monako
Mùng-thi̍t-nui-kô-lò	Montenegro
Sṳn Mâ-li-nok	San-Marino
Kú-pâ	Kubo
Eiffel Thiet-thap	Eiffel-Turo
Yin-thu-nì-sî-â	Indonezio
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Pi-tô-fûn	Ludwig van Beethoven
Thú-ngí-khì-ngî	Turka lingvo
Nàm-fî	Sud-Afriko
Vû-tsṳ̂-phe̍t-khiet-sṳ̂-thán	Uzbekujo
Pô-tsṳ-nàm	Poznano
Fà-sâ	Varsovio
Súi	Akvo
Thien-sṳ	Televido
Chṳ-li	Ĉilio
Yâ-sû	Jesuo Kristo
Súi-sên	Merkuro (planedo)
Li̍t-sṳ́	Historio
Phìn-kó Kûng-sṳ̂	Apple
Kîm-sên	Venuso (planedo)
Ngî-ngièn	Lingvo
Muk-sên	Jupitero (planedo)
Thiên-vòng-sên	Urano (planedo)
Pu-lie̍t-thap-nì	Bretonio
Hói-vòng-sên	Neptuno (planedo)
Thiên-vùn-ho̍k	Astronomio
Sîn-kâ-po	Singapuro
Khô-ho̍k	Scienco
Montréal	Montrealo
Lie̍t-kî-tûn-sṳ-tên	Liĥtenŝtejno
Kiam-khiâu	Kembriĝo (Britio)
Thi-ngi-chhṳ Sṳ-kie Thai-chan	Dua mondmilito
Cologne	Kolonjo
Kak-tên-nì-â	Gdynia
Sṳ̍p-chhiet-chhiâng	Szczecin
Sṳ-ho̍k	Matematiko
Lâ-tên-ngî	Latina lingvo
Pâ-lìm	Barejno
Â-mî-nì-â	Armenio
Set-ngì-vì-â	Serbio
Ngie̍t-khiù	Luno
Àu-thai-li-â	Aŭstralio
Vu̍t-lî-ho̍k	Fiziko
Â-kîn-thìn	Argentino
Pi-lû	Peruo
Sâng-vu̍t-ho̍k	Biologio
Tsêu-siên Mìn-tsú Tsú-ngi Ngìn-mìn Khiung-fò-koet	Nord-Koreio
Kán-pu-chhài	Kamboĝo
Khiúng-liùng	Dinosaŭro
Yî-sṳ̂-làn-kau	Islamo
Lech Wałęsa	Lech Wałęsa
Lin-é	Rado
Lyon	Liono
Êu-chû Lièn-mèn	Eŭropa Unio
Rhône-Alpes	Rodano-Alpoj
Chhiòn-khiù Chṳ̂-sín Mióng	TTT
Ńg-ngìn	Virino
Khiûng-tsiâu	Banano
Fâ	Floro
Mâ-lî-â-na̍p-hói	Mariana Fosego
Chû-mu̍k-lòng-mâ-fûng	Ĉomolungmo
Sàng-sṳ	Urbo
Nâ-pho-lùn yit-sṳ	Napoleono Bonaparte
Ngit-tèu	Suno
Pâ-sṳ-tet	Louis Pasteur
大洋洲	Oceanio
Thai-yòng Hì	Sunsistemo
Pô-lò-tit-hói	Balta Maro
Ngâ-chhṳ	Dento
Khîn	Hidrogeno
Hoi (氦)	Heliumo
Angela Merkel	Angela Merkel
Lî	Litio
Phì	Berilio
Si	Libro
Ngit	Tago
Ngièn	Jaro
Sṳ-ki	Jarcento
Lò-tsṳ (Pô-làn)	Lodzo
Khà-thok-vì-chṳ	Katowice
Ngie̍t-sû-fû	Rzeszów
Phìn	Boro
Thàn	Karbono
Tham	Nitrogeno
Yòng	Oksigeno
Hàng-sên	Planedo
Yîm-ngo̍k	Muziko
Rennes	Rennes
Mo̍k-sṳ̂-khô	Moskvo
Fuk	Fluoro
Yi-thai-li-ngî	Itala lingvo
Nái	Neono
Sṳn Pí-tet-páu	Sankt-Peterburgo
Na̍p	Natrio
北	Nordo
Mî	Magnezio
Lî (鋁)	Aluminio
Néu Sî-làn	Nov-Zelando
南	Sudo
Yin-thu	Barato
Si̍t	Silicio
Fap	Franciumo
Lìn	Fosforo
Thiet	Fero
Tûng-kâ	Tongo
西	Okcidento
Liù-vòng	Sulfuro
東	Oriento
Liu̍k	Kloro
Pâ-pu-â Néu-kí-nui-â	Papuo-Nov-Gvineo
Vî-lièn Sâ-sṳ-pí-â	William Shakespeare
Â (氬)	Argono
Kap	Kalio
Koi	Kalcio
Yèn	Plumbo
Mùng-kú-koet	Mongolio
Khong (鈧)	Skandio
Thai	Titano (elemento)
Genghis Khan	Ĝingis-Ĥano
Fàm	Vanado
Mien-yîn	Majno
Kok	Kromo
Mâ	Ĉevalo
Thûng-vu̍t	Bestoj
Sû-li-nàm	Surinamo
Màng	Mangano
Pâ-lâ-kûi	Paragvajo
Koi-â-nâ	Gujano
Ngi-su̍t	Arto
Lòi	Renio
Kô-lùn-pí-â	Kolombio
Kû	Kobalto
Vû	Volframo
Ngiap (鎳)	Nikelo
Fu̍t-kau	Budhismo
Pô-li-vì-â	Bolivio
Tshṳ̀-nì-tha̍t lâu Tô-pâ-kô	Trinidado kaj Tobago
Chhṳ̍t-vu̍t	Plantoj
Sîn	Zinko
Néu Hàn-pu-ha	Nov-Hampŝiro
Pí-â-vùi-sṳ̂-thok-khiet	Bjalistoko
Ngà-mâi-kâ	Jamajko
Mà-sat-chû-set	Masaĉuseco
Drenthe-sén	Drenthe
Overijssel-sén	Overijssel
Kûa-thi-mâ-là	Gvatemalo
Gelderland-sén	Gelderland
Pâ-hâ-mâ	Bahamoj
Không-nái-tí-khiet-chû	Konektikuto
Kiê-é	Koko
Ha-vî-yî	Havajo
Fùng-tû-lâ-sṳ̂	Honduro
Tô-mí-nì-kâ	Dominiko
Tô-mí-nì-kâ Khiung-fò-koet	Domingo
Kâ-chû (Thung-vu̍t)	Porko
Hói-thi	Haitio
Sat-ngì-ngá-tô	Salvadoro
Yî-lóng	Irano
Yî-là-khiet	Irako
Â-lâ-sṳ̂-kâ	Alasko
Kô-sṳ̂-tha̍t Lì-kâ	Kostariko
Yî-set-lie̍t	Israelo
Pâ-nâ-mâ	Panamo
Ya̍p-mùn	Jemeno
Phiang-thu̍k	Viruso (biologio)
Pô-làn-ngî	Pola lingvo
Yok-tan	Jordanio
Nì-kâ-lâ-kûa	Nikaragvo
Fu-lò-lî-tha̍t	Florido
Kit-ngí-kit-sṳ̂-thán	Kirgizio
Â-li-sông-ná	Arizono
Khô-vî-thi̍t	Kuvajto
Liàu-koet	Laoso
Lì-pâ-nun	Libano
O-le̍t-kông	Oregono
Gi-tuk-gaau zung geh sin	Dio laŭ kristanismo
Mâ-ngì-thoi-fû	Maldivoj
Yù-thâ	Utaho
Mâ-lòi-sî-â	Malajzio
Mién-thien	Birmo
Nì-pok	Nepalo
Â-man	Omano
Pâ-kî-sṳ̂-thán	Pakistano
Khà-tha̍t	Kataro
Mióng-khiù	Teniso
Sâ-vû-thi Â-lâ-pak	Sauda Arabio
Sṳ̂-lî-làn-khà	Sri-Lanko
Si-li-â	Sirio
Kâ	Galiumo
Thap-kit-khiet-sṳ̂-thán	Taĝikio
中華民國	Respubliko Ĉinio
YouTube	YouTube
Châ	Germaniumo
Thai-koet	Tajlando
Sṳ̂n	Arseno
Thú-khû-man-sṳ̂-thán	Turkmenio
Abakan	Abakan
Sî	Seleno
Yî	Iridio
Â-lâ-pak Lièn-ha̍p Thai-kûng-koet	Unuiĝintaj Arabaj Emirlandoj
Tshiù (溴)	Bromo
Pha̍k (鉑)	Plateno
Ye̍t-nàm	Vjetnamio
Thai-hòn Mìn-koet	Sud-Koreio
Khiet	Kriptono
Â-fu-hon	Afganio
J. R. R. Tolkien	John Ronald Reuel Tolkien
Lù	Rubidio
Kîm	Oro
Men-kâ-lâ-koet	Bangladeŝo
Ufa	Ufa
Ôn-kô-lâ	Angolo
Vùn-lòi	Brunejo
Kúng	Hidrargo
Fî-li̍t-pîn	Filipinoj
Thò	Taliumo
Ngie-sat-khiet Ngiù-tun	Isaac Newton
Albert Einstein	Albert Einstein
Sṳ̂	Stroncio
Yet	Itrio
Pit	Bismuto
Vòng-set	Flava
Tsan-pí-â	Zambio
Sîn-pâ-pu-vî	Zimbabvo
北京	Pekino
Tuva Khiung-fò-koet	Tuvio
Pok-tshṳ-ngá-na̍p	Bocvano
Pho (釙)	Polonio
Bayern	Bavario
Baden-Württemberg	Baden-Virtembergo
Ngo (砈)	Astato
Lòi-sò-thok	Lesoto
Mâ-tha̍t-kâ-sṳ̂-kâ	Madagaskaro
Mâ-là-vî	Malavio
Stuttgart	Stutgarto
Màu-li-thap-nì-â	Maŭritanio
Pô-làn-ngìn	Poloj
Mo̍k-sông-pí-khiet	Mozambiko
Na̍p-mí-pí-â	Namibio
Nai-khi̍p-li-â	Niĝerio
Ko	Zirkonio
Nì	Niobio
Yû-li-vû-sṳ̂ Khái-sat	Julio Cezaro
Sṳ̂-vî-sṳ-làn	Svazilando
Muk	Molibdeno
Thap	Teknecio
Hamburg	Hamburgo
Thoi-chhia	Metabolo
Miên-yi̍t Hì-thúng	Imuna sistemo
Lièn-ha̍p-koet	Unuiĝintaj Nacioj
Sîm-chhong	Koro
Thèu-nó	Cerbo
Phì-fû	Haŭto
Ló	Rodio
Làm-set	Blua
Pâ	Paladio
Ngiùn	Arĝento
Kak	Kadmio
Yîn	Indio
Siak	Stano
Yu	Uranio
Thi (銻)	Antimono
Ti	Teluro
Pu	Plutonio
Tièn	Jodo
Nai	Neptunio
Set	Cezio
Phù	Protaktinio
Pi	Bario
Thú	Torio
Kap (鉿)	Hafnio
Than (鉭)	Tantalo
Luì	Radiumo
Tûng	Radono
Alsace	Alzaco
Auvergne	Aŭvernjo
Ôn-tet-là-pâng	Andra-Pradeŝo
Me̍t-hiet-kîn	Miĉigano
Burgundy	Burgonjo
Aquitaine	Akvitanio
Schleswig-Holstein	Ŝlesvigo-Holstinio
Hâ Saxony	Malsupra Saksio
Pet Rhine-Westphalia	Nordrejn-Vestfalio
Saxony	Saksio
Yî-li-nò	Ilinojso
Thuringia	Turingio
Saxony-Anhalt	Saksio-Anhalto
Pet Tha̍t-khô-thâ	Norda Dakoto
Brandenburg	Brandenburgio
Bremen-chû	Libera hansa urbo Bremeno
Nàm Tha̍t-khô-thâ	Suda Dakoto
Mùng-thai-nâ	Montano
Fài-ngò-mìn	Vajomingo
Yâ-lu-sat-lâng	Jerusalemo
Oi-tha̍t-hòt	Idaho
Fà-sṳn-tun	Vaŝingtonio
Lù (鑪)	Ruterfordio
Nui-fà-tha̍t	Nevado
Hàn (𨧀)	Dubnio
Hí (𨭎)	Seborgio
Yin-thu-yòng	Hinda Oceano
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Kariba Maro
Pô (𨨏)	Borio
Het (𨭆)	Hasio
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Mejtnerio
Khô-lò-là-tô	Koloradio
Tha̍t	Darmŝtatio
Siau-pâng	Frédéric Chopin
Lùn	Rentgenio
Kô (鎶)	Kopernicio
分類:Chú-yeu fûn-lui	Kategorio:Ĉio
Chi-kâ-kô	Ĉikago
Arnhem	Arnhem
Tûng-kui	Vintro
Sî-pân-ngà-ngî	Hispana lingvo
Fî-là-thiet-fî	Filadelfio (Pensilvanio)
Tî-tû	Araneuloj
Hèu-è	Simio
Kîm-tshièn	Mono
Vì-kit-nì-â	Virginio (ŝtato)
Sî Vì-kit-nì-â	Okcidenta Virginio
Néu-yok-chû	Nov-Jorkio
Sṳ (鈰)	Cerio
Phú	Prazeodimo
Lò-tet-tó	Rod-Insulo
Ńg	Neodimo
Khûn-chhùng	Insekto
Mâ-lî-làn	Marilando
Thi̍t-lâ-ngá	Delavaro
Yû (銪)	Eŭropio
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Vergilio
Machiavelli	Makiavelo
Pîn-sé-fap-nì-â	Pensilvanio
Uetersen	Uetersen
O-kú-sṳ̂-tû	Aŭgusto Cezaro
Néu Chhe̍t-sî-chû	Nov-Ĵerzejo
Fûn-làn-ngî	Finna lingvo
Yin-thi-ôn-na̍p	Indianio
Vì-sṳ̂-pha-siên	Vespasiano
Thù-là-chṳ̂n	Trajano
Hâ-tet-liòng	Hadriano
Khièu-tshṳ-â	Georgio
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marko Aŭrelio
Zagreb	Zagrebo
Tet-khiet-sat-sṳ̂	Teksaso
Thai-mí-ngì-na̍p-tet-pâng	Tamilnado
Pet Khà-lò-lòi-na̍p	Norda Karolino
Nàm Khà-lò-lòi-na̍p	Suda Karolino
Loire-sén	Luaro
Pâ-set-lò-nâ	Barcelono
Vòng-lî	Ananaso
Me̍t-sî-sî-pí	Misisipio
Thièn-na̍p-sî	Tenesio
Néu Me̍t-sî-kô	Nov-Meksiko
Mìn-nì-sû-tha̍t	Minesoto
Vî-sṳ̂-không-sîn	Viskonsino
Oi-hò-fà	Iovao
Nui-pu-lâ-sṳ̂-kâ	Nebrasko
Khâm-sat-sṳ̂	Kansaso
Yin-thi-ngî	Hindia lingvo
Me̍t-sû-lî	Misurio
Lu-yi-sṳ̂-ôn-ná	Luiziano
Khén-thap-kî	Kentukio
Â-khén-set	Arkansaso
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahomo
Pet-hói	Norda Maro
Mo̍k-sṳ̂-khô-chû	Moskva provinco
Kiel	Kilo (urbo)
Schwerin	Schwerin
Potsdam	Potsdamo
Hanover	Hanovro
Düsseldorf	Duseldorfo
Mainz	Majenco
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Mu-nì-het	Munkeno
Erfurt	Erfurto
Dresden	Dresdeno
Kaliningrad-chû	Kaliningrada provinco
Murmansk-chû	Murmanska provinco
Kak-than-sṳ̂-khiet	Gdańsk
Fap-làn-khiet-fuk	Frankfurto ĉe Majno
Fut-lò-tshṳ-ngá-fû	Vroclavo
Làn	Lantano
Ki (鉕)	Prometio
Sân	Samario (kemio)
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Aceho
Nga̍t (釓)	Gadolinio
Thi̍t (鋱)	Terbio
Tit (鏑)	Disprozio
Sṳn-kîn	Biblio
Fó	Holmio
Ngí (鉺)	Erbio
Tiû	Tulio
Yi	Iterbio
Liu	Lutecio
Hò-nui-sṳ	Hanojo
Chṳ̂n Yâ-sû Kau-fi	Vera Eklezio de Jesuo
Yîn-ngî	Angla lingvo
Màn-kuk	Bankoko
Kit-lùng-po	Kuala-Lumpuro
Pâng-kâ Vú-lî-thung-sén	Bangka-Belitungo
Thòi-pet-sṳ	Tajpeo
Mî (鋂)	Americio
Arkhangelsk-chû	Arĥangelska provinco
Khiu̍k	Kuriumo
Thùng-hói-sṳ	Dong Hoi
Concepción	Koncepciono
Pet (鉳)	Berkelio
Khà (鉲)	Kaliforniumo
Mìn-kú-lû-sén	Bengkuluo
Oi	Ejnŝtejnio
Fi	Fermio
Mùn	Mendelevio
Na	Nobelio
Ontario-sén	Ontario
Lò	Laŭrencio (elemento)
Karelia Khiung-fò-koet	Karelio (respubliko)
Końskowola	Końskowola
2002-ngièn	2002
2008-ngièn	2008
Charles de Gaulle	Charles de Gaulle
Cham-pî-sén	Ĝambio
Komi Khiung-fò-koet	Komiio
Nâm-póng-sén	Lampungo
Pet Sû-mùn-tap-lia̍p-sén	Norda Sumatro
Syktyvkar	Siktivkar
Québec-sṳ	Kebeko
Nenets Chhṳ-chhṳ-khî	Nenecio
Liàu-nui-sén	Riauo
Leningrad-chû	Leningrada provinco
Pskov-chû	Pskova provinco
Liàu-nui Khiùn-tó-sén	Riau-insuloj
Nizhny Novgorod-chû	Niĵnij-Novgoroda provinco
Nàm Sû-mùn-tap-lia̍p-sén	Suda Sumatro
Lò-mâ Ti-koet	Romia Imperio
Mì-ngiôn Kûng-sṳ̂	Microsoft
Tver-chû	Tverja provinco
Khù-lû-fû	Kurów
Fa-ho̍k	Kemio
Smolensk-chû	Smolenska provinco
Yaroslavl-chû	Jaroslavla provinco
Kostroma-chû	Kostroma provinco
Ivanovo-chû	Ivanova provinco
Arnold Schwarzenegger	Arnold Schwarzenegger
Chiuk-khiù	Futbalo
Ryazan-chû	Rjazanja provinco
IPhone	IPhone
Sî Sû-mùn-tap-lia̍p-sén	Okcidenta Sumatro
Tula-chû	Tula provinco
IPad	IPad
Mâ-tet-lî	Madrido
Bryansk-chû	Brjanska provinco
Michael Jackson	Michael Jackson
Kaluga-chû	Kaluga provinco
Loire-Atlantique-sén	Loire-Atlantique
Ain-sén	Ain
Allier-sén	Allier
Khâm-phì-là	Kanbero
Sông Alpes-sén	Hautes-Alpes
Oryol-chû	Orjola provinco
Sit-nì	Sidnejo
Alpes-de-Haute-Provence-sén	Alpes-de-Haute-Provence
Liu̍k-set	Verdo
Alpes-Maritimes-sén	Alpes-Maritimes
Hâ-tet-sùn-hò	Hudsono (rivero)
Me̍t-ngì-pún	Melburno
Fùng-set	Ruĝa
Ardèche-sén	Ardèche
Jena	Jena
Kursk-chû	Kurska provinco
Ariège-sén	Ariège
Aude-sén	Aude
Aveyron-sén	Aveyron
Sîn Nàm Vî-ngì-sṳ̂-chû	Novsudkimrio
Bouches-du-Rhône-sén	Bouches-du-Rhône
Àu-thai-li-â Sú-tû Liâng-thi	Aŭstralia Ĉefurba Teritorio
Cantal-sén	Cantal
Belgorod-chû	Belgoroda provinco
Côte-d'Or-sén	Côte-d'Or
Côtes-d'Armor-sén	Côtes-d'Armor
Drôme-sén	Drôme
Finistère-sén	Finistère
Voronezh-chû	Voroneĵa provinco
Sû-mùn-tap-lia̍p	Sumatro
Lipetsk-chû	Lipecka provinco
Van-tan-sén	Provinco Banteno
Chûng Cháu-ôa-sén	Centra Javo
Fùi-sên	Kometo
Rostov-chû	Rostova provinco
Tûng Cháu-ôa-sén	Orienta Javo
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Ĝakarto
Sî Cháu-ôa-sén	Okcidenta Javo
Adygea Khiung-fò-koet	Adigeio
Gera	Gera
Maykop	Majkop
Cháu-ôa-tó	Javo
Kâ-lî-man-tân-chû	Kalimantano
Séu Sùn-thâ Khiùn-tó	Malgrandaj Sundaj Insuloj
Sû-lâ-vî-sî-tó	Sulaveso
Mô-lu̍k-kâ Khiùn-tó	Molukoj
Chûng Kâ-lî-man-tân-sén	Centra Kalimantano
Tûng Kâ-lî-man-tân-sén	Orienta Kalimantano
Nàm Kâ-lî-man-tân-sén	Suda Kalimantano
Kâ-li-sî-â	Galegio
Sî Kâ-lî-man-tân-sén	Okcidenta Kalimantano
Thai-ho̍k	Universitato
Pretoria	Pretorio
Chok-khiù	Tabloteniso
Â-sṳ̂-thù-lî-â-sṳ̂	Asturio
Wikipedia:Sandbox	Vikipedio:Provejo
Astrakhan-chû	Astraĥana provinco
Kham-thap-pu-lî-â	Kantabrio
Kalmykia Khiung-fò-koet	Kalmukio
Weimar	Vajmaro
Osasco	Osasco (San-Paŭlo)
Â-là-kung	Aragono
Kak-là-sṳ̂-kô	Glasgovo
Thùng-hói Kî-chhòng	Flughaveno Dong Hoi
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Vulingjuan
分類:Thòi-vân li̍t-sṳ́	Kategorio:Historio de Tajvano
Curitiba	Kuritibo
Khûng-chṳ́	Konfuceo
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Kategorio:Matematiko
分類:Ngìn-kûng ngî-ngièn	Kategorio:Konstruitaj lingvoj
Pâ-lî-sén	Balio
Mî-kîm	Usona dolaro
Thi-chûng-hói	Mediteraneo
Hông-chû-sṳ	Hangĝoŭo
Kî-tuk-kau	Kristanismo
Tûng Nú-sâ Tên-kâ-là-sén	Orientaj sudorientaj insuloj
Sî Nú-sâ Tên-kâ-là-sén	Okcidentaj sudorientaj insuloj
Chûng Sû-lâ-vî-sî-sén	Centra Sulaveso
Kô-lùn-tá-lo̍k-sén	Gorontalo
Pet Sû-lâ-vî-sî-sén	Norda Sulaveso
Tûng-nàm Sû-lâ-vî-sî-sén	Sudorienta Sulaveso
Nàm Sû-lâ-vî-sî-sén	Suda Sulaveso
Sî Sû-lâ-vî-sî-sén	Okcidenta Sulaveso
Vò-é	Rizo
Mâ-lû-kú-sén	Molukoj (provinco)
Pet Mâ-lû-kú-sén	Nordaj Molukoj
Pâ-pu-â-sén	Papuo
Sî Pâ-pu-â-sén	Okcidenta Papuo
Dagestan Khiung-fò-koet	Dagestano
Sú-tû	Ĉefurbo
Monzón	Monzono
Phù-thò-ngà-ngî	Portugala lingvo
Ngie̍t	Monato
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Maĥaĉkala
Chechnya Khiung-fò-koet	Ĉeĉenio
Grozny	Grozno
Almazán	Almazán
Vòng Hien-fàm	Huang Senfan
Ingushetia Khiung-fò-koet	Inguŝio
Magas	Magas
Pet Ossetia–Alania Khiung-fò-koet	Nord-Osetio
Kabardino-Balkaria Khiung-fò-koet	Kabardio-Balkario
Tson-sa̍k	Diamanto
Bill Gates	Bill Gates
Ngi̍t-ngî	Japana lingvo
Pak-khô-chhiòn-sû	Enciklopedio
頭頁	Vikipedio:Ĉefpaĝo
Karachay-Cherkessia Khiung-fò-koet	Karaĉajio-Ĉerkesio
Saratov	Saratov
Saratov-chû	Saratova provinco
Orenburg-chû	Orenburga provinco
Mordovia Khiung-fò-koet	Mordvio
Saransk	Saransko
Yâ-khiù	Basbalo
Làm-khiù	Korbopilkado
Kirov-chû	Kirova provinco
Udmurtia Khiung-fò-koet	Udmurtio
Sî-pak-li-â	Siberio
Mari El Khiung-fò-koet	Mariio
Yoshkar-Ola	Joŝkar-Ola
Stellenbosch	Stellenbosch
Sverdlovsk-chû	Sverdlovska provinco
Cape Town	Kaburbo
Chuvash Khiung-fò-koet	Ĉuvaŝio
Durban	Durbano
Cheboksary	Ĉeboksari
Tat-tat-sṳ̂-thán Khiung-fò-koet	Tatarstano
Penza-chû	Penza provinco
Là-fî-ngì	Rafaelo
Pí-tet Lû-pún-sṳ̂	Petro Paŭlo Rubens
Ulyanovsk-chû	Uljanovska provinco
Gung-gung-hi-tsaa	Aŭtobuso
Kâ-thai-lò-nì-â	Katalunio
Bashkortostan Khiung-fò-koet	Baŝkirio
Chelyabinsk-chû	Ĉeljabinska provinco
Pâ-lùn-sî-â Chhṳ-chhṳ-khî	Valencilando
Khà-sṳ̂-tì-li-â lâu Lòi-ngong	Kastilio kaj Leono
Kurgan-chû	Kurgana provinco
Mô Chhe̍t-tûng	Mao Zedong
Tyumen-chû	Tjumena provinco
Omsk-chû	Omska provinco
Thai-mí-ngì-ngî	Tamila lingvo
Chet-ho̍k	Filozofio
分類:Candidates for speedy deletion	Kategorio:Tujforigendaj artikoloj
Altai Khiung-fò-koet	Respubliko Altaj
Kòng-khìm	Piano
Gorno-Altaysk	Gorno-Altajsk
Kemerovo-chû	Kemerova provinco
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Kapitalismo
Koet-kâ	Lando
Mìn-chhu̍k	Nacio
Khanty-Mansi Chhṳ-chhṳ-khî	Ĥanti-Mansa aŭtonoma distrikto — Jugra
Yamalo-Nenets Chhṳ-chhṳ-khî	Jamalo-Neneca aŭtonoma distrikto
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Kategorio:Astronomio
Khakassia Khiung-fò-koet	Ĥakasio
Irkutsk-chû	Irkutska provinco
Sakha Khiung-fò-koet	Jakutio
Khiet-lò-âi-sî-â-ngî	Kroata lingvo
Hon-pó	Hamburgero
Buryatia Khiung-fò-koet	Burjatio
Vû-làn Vû-tet	Ulan-Ude
Amur-chû	Amura provinco
Ngi-sṳ̍p Sṳ-ki	20-a jarcento
Gotha	Gotha
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Kataluna lingvo
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Ĝirono
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Ĉelbiologio
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Monda Banko
A-la-pak Liên-mên	Ligo de Arabaj Ŝtatoj
Mìn-tsú Tsú-ngi	Demokratio
Chhîn-chhèu (秦朝)	Dinastio Qin
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	NATO
Chhìn Sṳ Fòng	Qin Shihuangdi
Hon-chhèu	Dinastio Han
Hon Vú-ti Liù Chha̍t	Wu Di
Sâng-vu̍t	Organismo
Kiûn-chú-chṳ	Monarkio
Khiung-fò-koet	Respubliko
Yí-mô-khiù	Badmintono
Ngièn-chhèu	Dinastio Yuan
