非洲	Afriko
日本	Japanio
南美洲	Sudameriko
Nò-vî	Norvegio
Sû-kak-làn	Skotlando
Vî-ngì-sṳ̂	Kimrio
Pet Oi-ngì-làn	Nord-Irlando
Hiûng-ngà-li	Hungario
Sî-pân-ngà	Hispanio
Mî-koet	Usono
Pí-li-sṳ̀	Belgio
Lù-sêm-pó	Luksemburgo (lando)
Yî-chhiu	Universo
Thi-khiù	Tero
Sâng-miang	Vivo
Ngìn-lui	Homo
George Washington	George Washington
Fûn-làn	Finnlando
Shuì-tién	Svedio
Tan-ma̍k	Danio
Pô-làn	Pollando
Li̍p-thâu-vón	Litovio
Yi-thai-li	Italio
Shuì-sṳ	Svislando
O-thi-li	Aŭstrio
Hî-lia̍p	Grekio
Thú-ngí-khì	Turkio
Phù-thò-ngà	Portugalio
歐洲	Eŭropo
亞洲	Azio
北美洲	Nordameriko
南極洲	Antarkto
Vì-kî Pak-khô	Vikipedio
Hò-làn	Nederlando
Néu-yok-sṳ	Novjorko
Fà-sṳ̀n-tun Kô-lùn-pí-â Thi̍t-khî	Vaŝingtono
Khiu-kîm-sân	San-Francisko
Pak-lìm	Berlino
Lo̍k-chhám-kî	Los-Anĝeleso
Thien-nó	Komputilo
Mióng-chi-mióng-lu	Interreto
Barack Obama	Barack Obama
Vû-lâ-kûi	Urugvajo
Lùn-tûn	Londono
Phìn-kó	Pomo
Pâ-lì-sṳ	Parizo
Â-pak-lâ-hón Lìm-khén	Abraham Lincoln
Google	Google
Me̍t-sî-kô	Meksiko
Thai-sî-yòng	Atlantika Oceano
Thai-phìn-yòng	Pacifika Oceano
Kâ-li-fuk-nì-â	Kalifornio
Pô-sṳ-tun	Bostono
Fó-sên	Marso
Âi-set-ngò-pí-â	Etiopio
Sṳ̂-é	Leono
Fap-koet	Francio
Sṳ-kie-ngî	Esperanto
Kiéu-è	Hundo
Yîn-koet	Unuiĝinta Reĝlando
Meu-é	Hejma kato
中華人民共和國	Ĉina Popola Respubliko
Fap-ngî	Franca lingvo
Ǹg-è	Fiŝoj
Pâ-sî	Brazilo
François Hollande	François Hollande
Ngò-lò-sṳ̂	Rusio
Kîn-ǹg	Cetacoj
Chang-fông-hìn	Kvadrato (geometrio)
Mong-kó	Mango (frukto)
Tô-lùn-tô	Toronto
Â-lâ-pâ-mâ	Alabamo
Québec-sén	Kebekio
Boeing 747	Boeing 747
Jimmy Wales	Jimmy Wales
Tet-koet	Germanio
Pha̍k-ngò-lò-sṳ̂	Belorusio
